time_points,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69
PF3D7_0107100,1.12059,0.635,0.413141,0.158135,0.569062,2.04241,7.28268,8.21992,8.04754,6.461,3.28143,1.30941,0.548763,0.282742,0.175957,0.0635435,0.245288,3.11893,8.59292,9.3853,13.3143,9.57661,3.79693,2.05441
PF3D7_0107200,2.27916,0.373107,0.404581,0.167248,0.334364,1.40346,10.031,16.2818,17.2852,9.57631,4.02213,0.873335,0.85983,0.166131,0.248129,0.0560043,0.288247,2.74888,6.7608,12.0616,10.7488,14.0931,7.76373,2.86337
PF3D7_0107300,1.35934,0.546208,0.592286,0.362729,0.271939,0.198511,0.437047,0.801813,1.36736,2.57977,2.55466,2.23233,1.04896,0.337787,0.252255,0,0.468865,0.308369,0.158613,0.428842,1.03456,1.95232,2.13379,2.12331
PF3D7_0107400,9.53385,3.04341,0.761574,1.22431,1.049,1.34006,8.99143,31.3045,41.7018,39.995,38.697,21.5278,8.767,3.1272,0.778452,0.175702,0,1.18952,6.73029,18.6102,32.3253,35.4685,47.5383,37.254
PF3D7_0107500,1007.53,598.75,490.539,464.022,420.409,364.929,272.732,170.874,119.967,69.9623,48.313,331.149,1115.22,818.039,537.13,506.173,364.631,314.553,232.268,181.927,118.992,85.7091,55.6982,87.9796
PF3D7_0107600,0.913109,0.382491,0.200228,0.275904,0.206846,0.118638,0.116088,0.184814,0.22287,0.400461,0.521336,0.496164,0.79787,0.308318,0.175427,0.0791902,0.127369,0.134032,0.252783,0.128147,0.168626,0.342165,0.179811,0.357248
PF3D7_0107700,2.38162,0.318993,0.0576504,0.0794393,0.357336,0.608648,3.36067,6.17264,5.50254,6.2417,4.61233,3.15557,0.918905,0.177545,0.22098,0.0399014,0.205367,0.945481,6.11371,8.45266,11.4646,10.3168,3.89107,4.14013
PF3D7_0107800,2.6395,1.65925,0.918351,1.36874,3.42696,8.56488,13.553,17.0777,19.7017,19.9346,13.7967,7.75897,2.06623,0.865783,0.502878,1.27123,3.87231,5.48878,11.082,12.5794,17.3243,12.4831,13.3814,8.99242
PF3D7_0107900,3.15545,1.93709,2.20553,8.03192,23.3268,33.9771,32.1616,33.5413,29.3228,25.7609,16.6062,7.52996,2.09253,1.07814,2.25441,10.3221,15.9005,25.9596,31.5569,22.4137,22.4542,23.619,12.7178,7.43302
PF3D7_0108000,96.1522,82.7041,122.371,144.903,182.75,209.433,247.091,260.881,365.438,364.947,369.977,241.202,78.7733,67.8592,130.406,172.096,299.116,239.088,287.732,368.194,420.447,574.593,570.933,569.217
PF3D7_0108100,1.88094,0.889536,0.445189,0.74125,1.30306,2.6578,4.35268,6.45141,7.97324,10.8865,9.37854,7.49344,1.3305,0.799772,0.824788,0.873027,0.726867,1.95568,3.90448,4.92572,6.99859,8.62718,9.47582,7.87692
PF3D7_0108300,218.711,276.5,231.311,233.875,225.342,285.374,202.607,143.968,113.227,83.9636,74.9892,131.701,234.014,300.018,267.42,254.972,254.71,232.414,228.236,165.68,117.979,90.1785,81.8776,89.2596
PF3D7_0108400,89.1278,87.0876,72.4951,61.526,54.5294,51.7957,41.4395,39.3193,30.3561,25.0004,12.6922,14.3452,73.2975,84.2857,70.6579,60.0143,34.6547,50.1461,34.8224,28.3253,24.6024,22.6165,22.097,11.153
PF3D7_0108500,9381.48,6623.33,3251.58,1941.77,958.753,445.949,142.289,76.377,38.865,22.2741,19.1064,828.369,7749.15,7772.12,3844.85,2139.04,1598.17,853.309,259.398,188.356,84.29,50.5645,33.5441,242.498
PF3D7_0108600,4.46277,2.86608,2.01097,1.00764,0.755433,1.5165,9.17316,27.8762,36.2633,36.3442,21.896,15.4328,4.97799,2.81506,1.1212,0.379594,1.13967,1.07079,5.06712,17.0505,27.7336,30.6162,45.001,29.0166
PF3D7_0108700,21.066,33.6933,41.6715,42.2958,50.144,50.2436,37.3481,37.7534,48.465,54.0343,50.7917,28.5702,19.7702,29.5871,38.138,46.8804,50.0441,47.2588,38.6405,34.0749,36.586,44.3309,50.3509,38.0259
PF3D7_0108800,8.12118,15.6785,19.4618,25.3276,31.8909,32.1082,21.2387,23.0981,23.5301,28.6458,21.6742,17.1882,11.192,13.0895,24.8093,26.0628,24.969,30.2233,19.17,18.1607,16.88,22.9059,19.4898,15.9872
PF3D7_0108900,45.0495,8.84971,2.64724,1.02593,0.683686,0.49908,0,0,0,0.18531,6.57937,90.4351,58.0183,12.229,1.9026,0.114514,0,0,0.132924,0,0.13005,0,1.31378,13.4317
PF3D7_0109000,3979.5,572.854,148.165,56.2648,26.5883,10.3864,9.13655,3.49281,3.97459,4.51874,233.542,2651.42,3671.07,1020.71,137.264,39.3826,20.8149,5.37814,3.12955,5.6661,4.9209,7.45561,139.744,1178.93
PF3D7_0109100,36.8545,6.03321,1.59011,0.923389,0.422401,0.308346,0.100572,0.0419343,0.0884961,0.220498,3.87135,27.8097,42.6342,11.543,1.84594,0.613168,0.202301,0,0.127749,0.0555097,0.178552,0.0869538,1.11231,6.90359
PF3D7_0109200,6.46315,4.6391,16.9447,20.9775,31.5906,38.9336,48.6463,49.0224,54.0652,46.4573,29.8306,18.064,4.92344,4.62047,13.2946,24.4636,32.303,40.63,57.6437,52.7292,53.5879,62.0753,45.8133,38.854
PF3D7_0109300,0.321758,0.237028,0,0,0,0,0.252876,1.17037,1.7801,1.11949,0.973404,0.792591,0.455195,0,0.13136,0,0.305197,0,0.137661,0.837435,3.29977,2.95157,1.41729,0.980859
PF3D7_0109400,27.3341,11.1867,9.4838,13.3721,25.2906,59.377,126.942,127.845,113.132,69.6605,42.9128,45.3985,17.5773,8.1508,7.60865,12.8227,39.6766,67.1753,113.934,133.122,143.889,114.819,75.0142,78.7355
PF3D7_0109500,53.1092,81.6793,154.067,198.621,258.601,248.083,170.437,115.047,121.782,100.681,75.8718,32.3236,40.8625,71.8207,134.848,219.62,506.408,488.257,299.574,219.869,195.788,239.794,112.125,101.736
PF3D7_0109600,11.8537,14.3111,14.2033,12.1415,10.3253,12.496,21.5434,28.8417,20.4937,14.4349,4.48258,3.64992,9.08353,22.9508,22.382,11.833,14.0545,19.1033,26.6253,31.9227,35.5598,22.4019,14.7938,7.93881
PF3D7_0109700,57.268,147.569,116.907,121.532,79.1528,68.0018,25.6991,33.4322,20.2909,29.8704,20.4978,14.6584,86.5191,153.638,156.733,125.997,65.0504,77.1862,36.601,16.4078,15.9812,6.30546,8.71994,5.29024
PF3D7_0109800,57.2662,154.424,173.387,148.028,123.796,104.447,79.4759,64.397,60.9121,61.1992,44.2278,24.4724,75.0163,146.377,168.239,157.1,112.621,124.005,68.3878,57.4251,54.5011,56.7633,51.6591,30.3527
PF3D7_0109850,4.96413,1.90464,0.826124,0.455343,0.170686,0.280346,0.640076,2.05882,10.433,23.2397,32.6169,21.7497,5.92551,1.65373,0.221664,0.0571782,0,0,0.199111,1.34584,7.27276,21.6618,27.2506,32.4583
PF3D7_0109950,8.20032,10.4709,2.40185,3.15919,14.4363,20.9119,40.4411,62.0746,84.4973,92.1158,98.4058,59.9266,20.302,6.27617,3.18045,5.13827,3.50021,4.34835,11.227,20.2757,32.0945,38.0298,49.9914,30.4523
PF3D7_0110000,42.7357,6.75474,2.35432,2.79356,8.5125,10.258,19.1098,25.9321,31.2525,32.1797,29.1639,35.1913,36.4838,8.72752,2.80759,2.17265,13.2791,10.7254,19.2298,36.5432,36.4971,47.3135,46.8228,56.4943
PF3D7_0110100,3.12372,11.0641,24.1713,24.9367,20.1532,13.324,12.74,13.27,15.5143,12.167,7.32622,3.55589,2.94612,10.893,25.8148,28.9758,16.2513,12.017,10.6511,11.5176,12.9567,14.3997,10.6406,4.80059
PF3D7_0110200,3.77536,25.9576,47.391,38.7857,31.7482,31.6229,30.943,30.4344,28.906,31.2038,15.2286,6.42136,8.77459,25.6517,43.1569,38.9631,28.6483,51.4785,43.1502,36.4969,38.3793,39.5799,27.1778,20.3275
PF3D7_0110300,3.13463,5.38807,2.50397,5.17552,2.58674,1.25885,2.46357,1.23265,1.08388,2.18127,0.790259,0.643465,0,2.57048,3.8392,5.1992,19.3264,17.5996,4.02336,0.679872,2.62425,2.39623,1.1046,1.73741
PF3D7_0110400,98.7143,183.736,208.477,189.116,178.419,160.654,103.442,89.1572,90.632,64.7932,45.0002,25.4453,108.884,181.363,201.872,212.244,206.079,219.334,136.344,99.1322,95.0001,83.616,71.5565,37.8498
PF3D7_0110500,12.2852,9.30449,7.25176,11.5811,19.9603,30.4342,34.9855,36.3232,34.2074,23.3878,12.8131,9.41899,11.3729,9.20431,7.93871,13.4889,20.0766,25.4621,27.2066,24.7754,27.1218,13.8795,14.8846,7.98852
PF3D7_0110600,209.927,188.851,159.465,125.795,109.458,92.8216,64.5518,49.9529,53.3118,45.263,37.7174,64.068,195.754,225.882,162.068,134.444,107.96,107.605,72.9636,57.3678,47.8625,42.9466,44.6317,41.3368
